name;alternate_url;id;from;to;employer_name;schedule;employment;experience;key_skills
Кладовщик склада готовой продукции (п. Федоровское, Тосненский район, Тосно, Пушкин, Павловск);https://hh.ru/vacancy/31578797;31578797;46000;46000;ПРО-БРАЙТ;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'Ответственность'}, {'name': '1С: Склад'}, {'name': 'Ответственное хранение'}, {'name': 'Пользователь ПК'}]
Менеджер по PR и рекламе;https://hh.ru/vacancy/31649864;31649864;40000;46000;Кадрофф;Полный день;Полная занятость;От 1 года до 3 лет;[]
Разнорабочий;https://hh.ru/vacancy/31577150;31577150;49000;58000;Зодиак;Гибкий график;Частичная занятость;Нет опыта;[]
Помощник менеджера по подбору персонала;https://hh.ru/vacancy/30452544;30452544;0;28000;Kelly Services;Полный день;Полная занятость;Нет опыта;[]
Ассистент HR-менеджера;https://hh.ru/vacancy/30469970;30469970;0;28000;Kelly Services;Полный день;Полная занятость;Нет опыта;[]
PHP-разработчик;https://hh.ru/vacancy/31362990;31362990;0;130000;Риалвеб, Интернет-агентство;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'PHP'}, {'name': 'Java'}, {'name': 'PostgreSQL'}, {'name': 'Atlassian Jira'}]
Координатор отдела закупок;https://hh.ru/vacancy/31649677;31649677;40000;40000;Paris Nail;Полный день;Полная занятость;От 1 года до 3 лет;[]
Ведущий инженер отдела теплового хозяйства;https://hh.ru/vacancy/31438048;31438048;52000;52000;ЦЕНТРАЛЬНОЕ ЖИЛИЩНО-КОММУНАЛЬНОЕ УПРАВЛЕНИЕ;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'Делопроизводство'}, {'name': 'Деловая переписка'}, {'name': 'Документооборот'}, {'name': 'Пользователь ПК'}, {'name': 'Деловое общение'}, {'name': 'Грамотная речь'}, {'name': 'Электронный документооборот'}, {'name': 'Работа с большим объемом информации'}, {'name': 'Internet'}]
Инженер отдела эксплуатации;https://hh.ru/vacancy/31438263;31438263;44000;44000;ЦЕНТРАЛЬНОЕ ЖИЛИЩНО-КОММУНАЛЬНОЕ УПРАВЛЕНИЕ;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Делопроизводство'}, {'name': 'Деловая переписка'}, {'name': 'Документооборот'}, {'name': 'Пользователь ПК'}, {'name': 'Деловое общение'}, {'name': 'Грамотная речь'}, {'name': 'Электронный документооборот'}, {'name': 'Работа с большим объемом информации'}, {'name': 'Internet'}]
Помощник руководителя IT компании;https://hh.ru/vacancy/30936510;30936510;55000;89000;BeeJee;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Английский язык'}, {'name': 'Грамотная речь'}, {'name': 'Деловая коммуникация'}, {'name': 'Организаторские навыки'}]
Главный бухгалтер;https://hh.ru/vacancy/31300944;31300944;57000;69000;Лас Флорес корп;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'Бухгалтерский учет'}, {'name': 'Бухгалтерская отчетность'}, {'name': '1C: Бухгалтерия'}]
Руководитель отдела документационного обеспечения;https://hh.ru/vacancy/31476112;31476112;57000;57000;ДАКАР, группа компаний;Полный день;Полная занятость;От 1 года до 3 лет;[]
QA Engineer;https://hh.ru/vacancy/31472207;31472207;69000;69000;Сирокко Технолоджи;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Функциональное тестирование'}, {'name': 'Регресcионное тестирование'}]
Senior Infrastructure Java Engineer (Intellij IDEA);https://hh.ru/vacancy/24140579;24140579;230000;230000;JetBrains;Полный день;Полная занятость;От 3 до 6 лет;[]
Теплотехник;https://hh.ru/vacancy/31645943;31645943;0;46000;Космосервис Управление;Полный день;Полная занятость;От 1 года до 3 лет;[]
Начинающий специалист отдела кадров;https://hh.ru/vacancy/31648096;31648096;34000;34000;АКМЭ сервис;Полный день;Полная занятость;Нет опыта;[]
Водитель (машинист) манипулятора;https://hh.ru/vacancy/31647994;31647994;57000;57000;Эн-Системс;Полный день;Полная занятость;От 1 года до 3 лет;[]
Ruby on Rails developer;https://hh.ru/vacancy/31471387;31471387;161000;161000;Сирокко Технолоджи;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Ruby'}, {'name': 'Ruby On Rails'}, {'name': 'SQL'}, {'name': 'PostgreSQL'}, {'name': 'Git'}, {'name': 'ООП'}, {'name': 'Golang'}]
"Кладовщик (ТЦ ""МЕГА Парнас"")";https://hh.ru/vacancy/31648809;31648809;30000;30000;FUNDAY;Сменный график;Полная занятость;Нет опыта;[]
